name,syd_n_de_dossier_cegid,syd_naf,syd_forme_juridique_sirene,syd_activite,syd_premiere_date_de_signature,syd_total_salaries,accountid,naf_officiel,activite_differe
LA SALAMANDRE,13589,6820B,,Location immobilière,2024-10-16,0,8A058DCC-8B85-EF11-AC20-000D3AD823E5,Location de terrains et d'autres biens immobiliers,True
LOUMY,13592,NAN,,Travaux de revêtement des sols et des murs,2024-11-28,1,99792CEC-6B86-EF11-AC20-000D3AD823E5,,True
ASSOCIATION CULTURELLE MUSULMANE DE LA ROSERAIE,13034,9499Z,,"Organiser et coordonner des activités sociales, éducatives et culturelles",2024-07-01,0,359A70E1-37D6-EE11-904C-000D3AD82707,Autres organisations fonctionnant par adhésion volontaire,True
LECLERC Antonin,13507,NAN,,Kinésithérapeuthe,2024-11-15,0,81DE1C34-0870-EF11-A670-000D3AD8AF7D,,True
SOLEIL.FR,13535,4662Z,,Achat/Revente de matériel pour mpro,2024-09-29,0,69D028AB-EA74-EF11-A671-000D3AD8AF7D,Commerce de gros (commerce interentreprises) de machines-outils,True
ADLA,13536,6820B,,Location Immobilière,2024-09-29,0,F9484608-EE74-EF11-A671-000D3AD8AF7D,Location de terrains et d'autres biens immobiliers,True
MARIE-MADELEINE RIGAULT,13540,6820A,,LMNP,2024-09-29,0,4DF285C1-6376-EF11-A671-000D3AD8AF7D,Location de logements,True
AMX IMMOBILIER,13544,6810Z,,Marchand de biens,2024-10-14,0,B77B05B0-7B76-EF11-A671-000D3AD8AF7D,Activités des marchands de biens immobiliers,True
FLORENT VIGNARD,13411,702C,,Location d'autres biens immobiliers,2024-09-30,0,C98B4BC0-3F69-EF11-BFE2-000D3AD8AF7D,,True
MELIA,13491,NAN,,location immobilière,2024-09-17,0,155B7871-326C-EF11-BFE2-000D3AD8AF7D,,True
LAANY-SEAL,13492,5610C,,Restauration rapide,2024-10-10,4,E78A864E-346C-EF11-BFE2-000D3AD8AF7D,Restauration de type rapide,True
ATELIER KAIROS,10365,7111Z,EURL,Activités d'architecture,2021-12-07,0,57777893-0451-EC11-8C62-000D3AD8D81B,Activités d'architecture ,True
INDIVISION BEGUIN LMNP,13161,6820A,,Location meublé non professionnel,2024-07-23,0,CE99E045-6701-EF11-9F89-000D3ADA2D89,Location de logements,True
CM SERVICES,13162,4332C,,Créateur d'évènements et de publicités sur lieu de vente,2024-10-09,4,305EA285-6F01-EF11-9F89-000D3ADA2D89,Agencement de lieux de vente,True
TAKE EVENT,13167,9002Z,,Régie générale,2024-05-27,0,1736C2E1-D802-EF11-9F89-000D3ADA2D89,Activités de soutien au spectacle vivant,True
VUE D'ENSEMBLE,13169,7112B,,Prestations de services techniques liées au rigging,2024-05-13,0,11763EAE-E002-EF11-9F89-000D3ADA2D89,"Ingénierie, études techniques",True
BEGOOD PRESTATIONS,13171,7420Z,,"Prestations liées à la photographie, la location de matériels",2024-05-13,0,9300102F-E402-EF11-9F89-000D3ADA2D89,Activités photographiques,True
STAGE EXPERIENCE,13173,5920Z,,Enregistrement sonore et mixage,2024-05-27,0,53A4F347-E802-EF11-9F89-000D3ADA2D89,Enregistrement sonore et édition musicale ,True
MOONLIGHT DESIGN,13179,9002Z,,Prestations techniques liées à l'éclairage,2024-05-13,0,B6F70CD0-FC02-EF11-9F89-000D3ADA2D89,Activités de soutien au spectacle vivant,True
GASTALDIN NICOLAS,13156,6820A,,LMNP,2024-05-03,0,C1EA457D-68FD-EE11-A1FE-000D3ADA2D89,Location de logements,True
BS HOME COM,13625,4673A,,Commerce de gros (commerce interentreprises) de bois,2024-11-21,0,6E4D9C36-0995-EF11-8A69-000D3ADAF06F,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction ,True
NEWSIM,13093,6420Z,,HOLDING,2024-03-26,0,2347A700-53E8-EE11-904C-000D3ADB6C66,Activités des sociétés holding,True
BATI OCEAN,10110,4399CZ,SASU,"Maçonnerie, Gros-oeuvre, ravalement, couverture",2021-11-30,2,58A9B351-7126-EC11-B6E5-000D3ADBCB2E,,True
SARL CDS TRAITEUR,07709,5610A,URL,,2019-07-29,0,78D077DD-DE58-EC11-8F8F-000D3ADBD6B8,Restauration traditionnelle,True
LA BAGUETTE MAGIQUE,07718,1071C,URL,,2019-05-31,0,7ED077DD-DE58-EC11-8F8F-000D3ADBD6B8,Boulangerie et boulangerie-pâtisserie,True
VLV CONSEILS,07750,7022Z,SSU,,2019-10-30,0,A8D077DD-DE58-EC11-8F8F-000D3ADBD6B8,Conseil pour les affaires et autres conseils de gestion,True
DENISET,07782,4332A,URL,Travaux de menuiserie bois et pvc,2019-07-02,0,BCD077DD-DE58-EC11-8F8F-000D3ADBD6B8,Travaux de menuiserie bois et PVC,True
KLU,07973,6820B,SCI,,2020-02-03,0,D8D077DD-DE58-EC11-8F8F-000D3ADBD6B8,Location de terrains et d'autres biens immobiliers,True
INTER RECEPTION,07974,7729Z,SAS,,2019-12-20,0,DAD077DD-DE58-EC11-8F8F-000D3ADBD6B8,Location et location-bail d'autres biens personnels et domestiques,True
LA BAGUETTE MAGIQUE 3,08688,NAN,URL,,2021-04-20,0,DED077DD-DE58-EC11-8F8F-000D3ADBD6B8,,True
NATHYS,08975,4729Z,URL,Autres commerces de détail alimentaires en magasin spécialisé,2021-09-30,0,E2D077DD-DE58-EC11-8F8F-000D3ADBD6B8,Autres commerces de détail alimentaires en magasin spécialisé ,True
ALYNA,08985,NAN,SCI,Location de logements,2021-09-03,0,E8D077DD-DE58-EC11-8F8F-000D3ADBD6B8,,True
SMART MOBILITE,08986,4939B,SSU,Autres transports routiers de voyageurs,2021-10-15,0,EAD077DD-DE58-EC11-8F8F-000D3ADBD6B8,Autres transports routiers de voyageurs ,True
SYLVAIN MANNAERT COORDINATION,08988,NAN,URL,,2021-09-27,0,EED077DD-DE58-EC11-8F8F-000D3ADBD6B8,,True
EMERAUDE,09002,NAN,URL,,2021-09-30,0,F2D077DD-DE58-EC11-8F8F-000D3ADBD6B8,,True
OGS,13404,6630Z,,Holding,2025-05-15,0,2B2BC643-E765-EF11-BFE2-000D3ADDAA3C,Gestion de fonds,True
LES FORGES 127,14074,6820B,,Location immobilière,2025-04-18,0,95F73581-AF16-F011-998A-000D3ADDB2ED,Location de terrains et d'autres biens immobiliers,True
NBG,13975,6630Z,,Activités auxiliaires de services financiers et d'assurance,2025-03-11,0,34157609-6AFE-EF11-BAE3-000D3ADDB2ED,Gestion de fonds,True
ALEXIS LEPROUST,14019,NAN,,Location de robots de tonte,2025-04-01,0,7980B576-8109-F011-BAE3-000D3ADDB2ED,,True
RIVAGE SPA,14027,4752B,,"La vente de spas, piscines, objets de décoration, mobilier d'extérieur, produits , accessoires...",2025-05-16,0,A82FE034-6F0A-F011-BAE3-000D3ADDB2ED,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)",True
MJPL.IMO,10713,NAN,SCI,Location de terrains et d'autres biens immobiliers,2022-02-23,0,D39342A7-6E8E-EC11-B400-000D3ADE2A8A,,True
MJPLF3DIMMO,10715,NAN,SCI,Location de terrains et d'autres biens immobiliers,2022-02-23,0,267B7257-718E-EC11-B400-000D3ADE2A8A,,True
BESSEAU CARRELAGE,13349,4333Z,,CARRELEUR,2024-11-04,0,B018A04A-5440-EF11-8409-000D3ADE5729,Travaux de revêtement des sols et des murs,True
L'ATELIER DE SOUFIANE,13351,4722Z,,Boucherie charcuterie,2024-07-19,7,574675F9-8242-EF11-A316-000D3ADE5729,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé,True
ATLANTIC RH,11739,7810Z,,Activités des agences de placement de main-d'œuvre,2023-03-15,1,91E6588B-A2AB-ED11-AAD0-000D3ADEA6E9,Activités des agences de placement de main-d'œuvre ,True
BGM FINANCE,11693,6420Z,,Prise de participation,2024-06-14,0,8DB88FF1-6DA1-ED11-AAD1-000D3ADEA6E9,Activités des sociétés holding,True
THIAM Mamadou,12202,5621Z,,Services des traiteurs,2023-11-15,0,A7DD6703-F605-EE11-8F6E-000D3ADEA706,Services des traiteurs ,True
CHARBONNIERLD,12325,6820B,,Location de biens immobiliers,2024-09-13,0,55C2F482-AB20-EE11-9966-000D3ADEA706,Location de terrains et d'autres biens immobiliers,True
GULLYVER,12346,4761Z,,Librairie,2024-03-18,2,75CDF5A6-9821-EE11-9966-000D3ADEA706,Commerce de détail de livres en magasin spécialisé,True
SANZ PASCUAL PRISCA,12918,5610C,,Crêperie ambulante,2024-02-05,0,52585A10-DCB6-EE11-A56F-000D3ADEA706,Restauration de type rapide,True
BOURRIGAULT Sonia,11963,5520Z,,Loueur en meublé non professionnel,2024-01-05,0,E9BC88FC-82D3-ED11-A7C7-000D3ADEA7D6,Hébergement touristique et autre hébergement de courte durée ,True
JAVA3.0,11688,4776Z,,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces a",2023-06-16,1,EDE04BCA-99A0-ED11-AAD1-000D3ADEA893,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",True
RESINEA,13377,4331Z,,Sol Résine,2024-09-18,0,300F3619-184F-EF11-BFE2-000D3ADEFB85,Travaux de plâtrerie,True
SAPIC MULTISERVICES,13378,8121Z,,Tous travaux de bricolage et de rénovation,2024-09-29,2,9C2114C1-194F-EF11-BFE2-000D3ADEFB85,Nettoyage courant des bâtiments,True
LE PARADIS LAUNAY,10334,NAN,SCI,bien immobilier,2021-12-28,0,C92B886D-6948-EC11-8C62-000D3ADF5B53,,True
SOCIETE NANTAISE DE DISTRIBUTION DE CARRELAGE,10552,4673B,SARL,Commerce de gros (commerce interentreprises) d'appareils,2022-02-08,0,983E9357-7A61-EC11-8F8F-000D3ADF7088,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration,True
HOUSSAY CONSTANCE,12761,8690E,,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues",2023-12-15,0,BF302397-7D87-EE11-8179-000D3ADF74F0,"Activités des professionnels de la rééducation, de l’appareillage et des pédicures-podologues",True
