name,syd_n_de_dossier_cegid,syd_naf,syd_forme_juridique_sirene,syd_activite,syd_premiere_date_de_signature,syd_total_salaries,accountid,naf_officiel,activite_differe
C2MO ,02224,NAN,IND,,,0,C70081BB-B9E7-EB11-BACB-0022489B9951,,True
SCI THOUENON-RICHARDIN,02226,702C,SCI,,,0,3D107EC1-B9E7-EB11-BACB-0022489B9951,,True
C.F.C,02231,6820B,SCI,,2006-10-17,0,63107EC1-B9E7-EB11-BACB-0022489B9951,Location de terrains et d'autres biens immobiliers,True
SARL SCIERIE TERNIL,02232,NAN,SARL,,,0,72BF78C7-B9E7-EB11-BACB-0022489B9951,,True
J.C.S.,02233,741J,SARL,,,0,82BF78C7-B9E7-EB11-BACB-0022489B9951,,True
ROUAINAI DANIELLE ,02237,4789Z,IND,,2007-02-01,0,301E7DCD-B9E7-EB11-BACB-0022489B9951,Autres commerces de détail sur éventaires et marchés,True
SOLUTIONS CENTER INFORMATIQUE,02240,725Z,SARL,,,0,34CC77D3-B9E7-EB11-BACB-0022489B9951,,True
DAVID AUTO,02241,4511Z,EURL,,2006-12-04,0,A5F17ED9-B9E7-EB11-BACB-0022489B9951,Commerce de voitures et de véhicules automobiles légers,True
CHATEAU DE L'ASSAY,02243,0121,SCEA,,,0,7A017CDF-B9E7-EB11-BACB-0022489B9951,Culture de la vigne,True
CARROSSERIE DOUET ,02245,NAN,SARL,,,0,1B4E74E5-B9E7-EB11-BACB-0022489B9951,,True
GARAGE TAILLARD,02246,501Z,SARL,,,0,758278EB-B9E7-EB11-BACB-0022489B9951,,True
LEVACHER ,02250,511L,IND,,,0,B3F477F1-B9E7-EB11-BACB-0022489B9951,,True
BRICARD XAVIER ,02255,511T,IND,,,0,828968FD-B9E7-EB11-BACB-0022489B9951,,True
SOCIETE ANGEVINE DE FOURNITURES,02256,4669B,SARL,,2007-01-11,0,FFFD6703-BAE7-EB11-BACB-0022489B9951,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,True
PROTEGARD FRANCE,02263,746Z,EURL,,,0,9E3A7C12-BAE7-EB11-BACB-0022489B9951,,True
SCI CROEGAERT,02264,NAN,SCI,,,0,266F8018-BAE7-EB11-BACB-0022489B9951,,True
DAVAL,02266,6820B,SCI,,2006-10-31,0,F645821E-BAE7-EB11-BACB-0022489B9951,Location de terrains et d'autres biens immobiliers,True
PIANKA MACONNERIE,02271,4399C,EURL,,2007-01-10,0,E29FAC24-BAE7-EB11-BACB-0022489B9951,Travaux de maçonnerie générale et gros œuvre de bâtiment,True
DUPUIS FRANK ,02272,8010Z,IND,,,0,FC9FAC24-BAE7-EB11-BACB-0022489B9951,Activités de sécurité privée ,True
2ADS,02273,NAN,EURL,,,0,87A9442B-BAE7-EB11-BACB-0022489B9951,,True
MEDIAPUB,02274,NAN,EURL,,,0,9AA9442B-BAE7-EB11-BACB-0022489B9951,,True
BILLOT ,02278,NAN,IND,,,0,C75E0433-BAE7-EB11-BACB-0022489B9951,,True
CREAFLEURS ,02279,NAN,IND,,,0,F67F3339-BAE7-EB11-BACB-0022489B9951,,True
SENIOR BUS,02280,NAN,SARL,,,0,21803339-BAE7-EB11-BACB-0022489B9951,,True
FLEUR DE PEAU,02281,9602B,SARL,,2006-12-19,0,949E303F-BAE7-EB11-BACB-0022489B9951,Soins de beauté,True
BODY LAURENT,02287,NAN,EURL,,,0,1A5C284B-BAE7-EB11-BACB-0022489B9951,,True
SCI DU CHATEAU DE L'ASSAY,02296,6820A,SCI,,2007-04-17,0,46FC8A5D-BAE7-EB11-BACB-0022489B9951,Location de logements,True
ATELIER DAMAMME,02297,9524Z,EURL,,2007-03-15,0,7E4E8363-BAE7-EB11-BACB-0022489B9951,Réparation de meubles et d'équipements du foyer,True
ONG BA,02305,4771Z,SARL,,2007-04-12,0,25CF306A-BAE7-EB11-BACB-0022489B9951,Commerce de détail d'habillement en magasin spécialisé,True
MATIGNON ,02307,NAN,IND,,,0,F9027370-BAE7-EB11-BACB-0022489B9951,,True
CLASSPEOPLE,02310,4771Z,EURL,,2007-03-08,0,905ADB76-BAE7-EB11-BACB-0022489B9951,Commerce de détail d'habillement en magasin spécialisé,True
ALPHA SERVICES,02312,7729Z,SARL,,2006-12-18,0,C27EEB7C-BAE7-EB11-BACB-0022489B9951,Location et location-bail d'autres biens personnels et domestiques,True
SCI HOGDAY,02313,NAN,SCI,,,0,F27EEB7C-BAE7-EB11-BACB-0022489B9951,,True
OPTIQUE MALAKOFF,02314,4778A,EURL,,2007-04-02,0,70640083-BAE7-EB11-BACB-0022489B9951,Commerces de détail d'optique,True
PRO-RECEPTION,02318,7729Z,SARL,,2006-12-18,0,9211FB88-BAE7-EB11-BACB-0022489B9951,Location et location-bail d'autres biens personnels et domestiques,True
ALLO VAISSELLE SERVICE,02319,7729Z,EURL,,2006-12-18,0,4A5CF38E-BAE7-EB11-BACB-0022489B9951,Location et location-bail d'autres biens personnels et domestiques,True
LESOURD AUDREY ,02324,NAN,IND,,,0,DE67F99A-BAE7-EB11-BACB-0022489B9951,,True
LETHIELLEUX ,02325,9700Z,IND,,2006-12-21,0,429152A2-BAE7-EB11-BACB-0022489B9951,Activités des ménages en tant qu'employeurs de personnel domestique,True
LEVER L'ENCRE,02327,4651Z,SARL,,,0,969152A2-BAE7-EB11-BACB-0022489B9951,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels",True
EL CHAMAN,02330,NAN,EURL,,,0,DBDC4AA8-BAE7-EB11-BACB-0022489B9951,,True
ANJOU CONSTRUCTION,02332,7112B,EURL,,2007-11-28,0,69836DB4-BAE7-EB11-BACB-0022489B9951,"Ingénierie, études techniques",True
AB IDEP,02346,NAN,EURL,,,0,D0B6A6D2-BAE7-EB11-BACB-0022489B9951,,True
SARL ECO.TECH,02347,NAN,SARL,,,0,DA60C0D8-BAE7-EB11-BACB-0022489B9951,,True
CHAUVIRE ,02352,NAN,IND,,,0,65BAB5E4-BAE7-EB11-BACB-0022489B9951,,True
ECMA,02354,NAN,SARL,,,0,7FBAB5E4-BAE7-EB11-BACB-0022489B9951,,True
ASM2,02355,NAN,SARL,,,0,F78501EB-BAE7-EB11-BACB-0022489B9951,,True
XB CONSULTANT SOLARFILM STORE,02357,7410Z,EURL,,2007-04-19,0,108601EB-BAE7-EB11-BACB-0022489B9951,Activités spécialisées de design,True
ESSALMI OMAR ,02366,527A,IND,,2007-02-05,0,DB7C51F7-BAE7-EB11-BACB-0022489B9951,,True
JULIENNE ,02367,4619B,IND,,2007-06-21,0,D4274CFD-BAE7-EB11-BACB-0022489B9951,Autres intermédiaires du commerce en produits divers,True
SCCV RESIDENCE SAINT MARTIN,02371,4110C,SC,,2007-09-19,0,93235503-BBE7-EB11-BACB-0022489B9951,Promotion immobilière d'autres bâtiments,True
a.b.p 35 ,02384,454F,SARL,,2007-05-21,0,C53A261D-BBE7-EB11-BACB-0022489B9951,,True
GOGANE,02388,6820B,SCI,,2007-02-05,0,033B261D-BBE7-EB11-BACB-0022489B9951,Location de terrains et d'autres biens immobiliers,True
FONTAINE,02395,6820B,SCI,,2007-02-12,0,87ED152A-BBE7-EB11-BACB-0022489B9951,Location de terrains et d'autres biens immobiliers,True
LAURENT ,02400,4941B,IND,,2007-06-11,0,02937636-BBE7-EB11-BACB-0022489B9951,Transports routiers de fret de proximité,True
JURET ,02403,4321A,IND,,2007-02-16,0,F9DE6E3C-BBE7-EB11-BACB-0022489B9951,Travaux d'installation électrique dans tous locaux,True
PIAT,02405,554B,IND,,,0,713E7A42-BBE7-EB11-BACB-0022489B9951,,True
LA MAISON D'INGRE,02406,702C,SCI,,,0,D33E7A42-BBE7-EB11-BACB-0022489B9951,,True
JEAN PIERRE FONTAINE,02411,4322A,EURL,,2007-02-22,0,4C917854-BBE7-EB11-BACB-0022489B9951,Travaux d'installation d'eau et de gaz en tous locaux,True
RITOUET NATHALIE ,02413,5610A,IND,,2007-03-07,0,A990CA5B-BBE7-EB11-BACB-0022489B9951,Restauration traditionnelle,True
VERONIQUE OLLIVIER ,02420,9602A,IND,,2007-05-21,0,D1E39868-BBE7-EB11-BACB-0022489B9951,Coiffure,True
TRONCHET RONAN,02428,4399C,EURL,,2007-04-24,0,D4818B78-BBE7-EB11-BACB-0022489B9951,Travaux de maçonnerie générale et gros œuvre de bâtiment,True
DJAZZ ,02435,1071C,SARL,,2007-03-23,0,3C2B867E-BBE7-EB11-BACB-0022489B9951,Boulangerie et boulangerie-pâtisserie,True
WALSH,02436,NAN,IND,,2008-07-02,0,F0608A84-BBE7-EB11-BACB-0022489B9951,,True
FOUILLE VINCENT ,02441,158C,IND,,,0,89998E8A-BBE7-EB11-BACB-0022489B9951,,True
ADRIA,02443,6820B,SCI,,2007-03-23,0,139A8E8A-BBE7-EB11-BACB-0022489B9951,Location de terrains et d'autres biens immobiliers,True
CHALOPIN,02445,6820B,SCI,,2007-03-13,0,F6098E90-BBE7-EB11-BACB-0022489B9951,Location de terrains et d'autres biens immobiliers,True
JUDO CLUB DE CHALLANS,02449,NAN,ASS,,,0,2CC35F97-BBE7-EB11-BACB-0022489B9951,,True
BUINO ARMAND ,02458,NAN,IND,,,0,123161A3-BBE7-EB11-BACB-0022489B9951,,True
CAUCHE LEDUC ,02463,5610A,SARL,,2007-03-23,0,1F655BAF-BBE7-EB11-BACB-0022489B9951,Restauration traditionnelle,True
JOLIVEAU PASCAL ,02467,NAN,IND,,,0,09896BB5-BBE7-EB11-BACB-0022489B9951,,True
SARL LIBERATION,02478,NAN,SARL,,,0,9490CEC1-BBE7-EB11-BACB-0022489B9951,,True
ATHOR,02479,NAN,SARL,,,0,218DF6C7-BBE7-EB11-BACB-0022489B9951,,True
SARL ENTREPRISE CARRE ,02482,4322B,SARL,,2008-03-20,0,4BCB44CE-BBE7-EB11-BACB-0022489B9951,Travaux d'installation d'équipements thermiques et de climatisation,True
FRANCE INTERVIEW,02487,7320Z,SARL,,2007-04-18,0,CEA9FDDA-BBE7-EB11-BACB-0022489B9951,Études de marché et sondages,True
BEL CANTO,02496,5610A,SARL,,2008-01-29,0,9D67F5E6-BBE7-EB11-BACB-0022489B9951,Restauration traditionnelle,True
FINANCIERE PASCAL TEXIER,02499,6430Z,SARL,,2007-04-12,0,BCB1F9EC-BBE7-EB11-BACB-0022489B9951,Fonds de placement et entités financières similaires,True
GAEC DE KERESTER,02504,NAN,DIV,,,0,4E7F77F3-BBE7-EB11-BACB-0022489B9951,,True
GALASSO FLORENT ,02506,4776Z,IND,,2007-08-21,0,427ABEF9-BBE7-EB11-BACB-0022489B9951,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",True
VEZIN PAYSAGE,02507,8130Z,SARL,,2007-04-16,0,6713C5FF-BBE7-EB11-BACB-0022489B9951,Services d'aménagement paysager ,True
JAMIS,02508,4391B,SARL,,2007-04-16,0,AE13C5FF-BBE7-EB11-BACB-0022489B9951,Travaux de couverture par éléments,True
GOUBAUD ,02520,NAN,,,2007-04-26,0,B712E011-BCE7-EB11-BACB-0022489B9951,,True
FRANQUEVILLE THIERRY ,02525,NAN,IND,,,0,ADBAE31D-BCE7-EB11-BACB-0022489B9951,,True
LE MILAN NOIR ,02526,5630Z,EURL,,2007-07-03,0,B851EA23-BCE7-EB11-BACB-0022489B9951,Débits de boissons,True
L'ATELIER DES SAVEURS,02536,5610A,SARL,,2007-09-20,0,2A64E729-BCE7-EB11-BACB-0022489B9951,Restauration traditionnelle,True
ABMJ,02542,4520A,SARL,,2007-06-06,0,9205323C-BCE7-EB11-BACB-0022489B9951,Entretien et réparation de véhicules automobiles légers,True
ALLARD,02544,4331Z,IND,,2007-06-29,0,2A4E2A42-BCE7-EB11-BACB-0022489B9951,Travaux de plâtrerie,True
BOSSUET,02545,9602A,IND,,2007-08-20,0,FB588448-BCE7-EB11-BACB-0022489B9951,Coiffure,True
CONFÉDÉRAT.FRANÇAISE PHOTOGRAPHIE,02548,NAN,ASS,,2007-05-18,0,1A598448-BCE7-EB11-BACB-0022489B9951,,True
JOUIN,02560,0101,IND,,2007-07-12,0,3FE9F054-BCE7-EB11-BACB-0022489B9951,,True
LES ENFANTS DE CHAMBIERS,02564,8899B,ASS,,2007-06-22,0,D81FF55A-BCE7-EB11-BACB-0022489B9951,Action sociale sans hébergement n.c.a.,True
M.DEROUET ET DEMOND,02566,NAN,SARL,,,0,B3F3F660-BCE7-EB11-BACB-0022489B9951,,True
JOLIVET DIDIER ELECTRICITE,02568,4321A,EURL,,2007-08-22,0,73396B67-BCE7-EB11-BACB-0022489B9951,Travaux d'installation électrique dans tous locaux,True
GROUPE OUEST HABITAT,02572,701F,SARL,,,0,38706F6D-BCE7-EB11-BACB-0022489B9951,,True
PARE MICHEL ,02580,4619B,IND,,2008-01-22,0,8F51AC79-BCE7-EB11-BACB-0022489B9951,Autres intermédiaires du commerce en produits divers,True
DELAHAYE DOMINIQUE ,02583,NAN,IND,,,0,1F72A97F-BCE7-EB11-BACB-0022489B9951,,True
MENAND,02588,4332A,IND,,2007-10-10,0,2E6DB285-BCE7-EB11-BACB-0022489B9951,Travaux de menuiserie bois et PVC,True
DOUIHAK ALEXANDRE ,02594,5320Z,IND,,2007-06-29,0,C1C7C691-BCE7-EB11-BACB-0022489B9951,Autres activités de poste et de courrier,True
J J P AMENAGEMENT INTERIEUR EXTERIE,02595,452A,SARL,,,0,33D7C397-BCE7-EB11-BACB-0022489B9951,,True
ROUGE CARMIN,02597,NAN,SARL,,,0,4749C39D-BCE7-EB11-BACB-0022489B9951,,True
MAUBERT,02605,NAN,EURL,,,0,B749C39D-BCE7-EB11-BACB-0022489B9951,,True
WAYMEL ERIC ,02607,NAN,SARL,,2007-12-07,0,1523BEA3-BCE7-EB11-BACB-0022489B9951,,True
BRIAND MAGALI,02608,5610A,SARL,,2007-07-10,0,88DBB8A9-BCE7-EB11-BACB-0022489B9951,Restauration traditionnelle,True
TIP TOP 72,02609,4332A,SARL,,2007-08-31,0,01DCB8A9-BCE7-EB11-BACB-0022489B9951,Travaux de menuiserie bois et PVC,True
DA COSTA ,02611,8553Z,IND,,2007-07-18,0,5426B1AF-BCE7-EB11-BACB-0022489B9951,Enseignement de la conduite,True
DECI DESSOUS,02612,4771Z,EURL,,2007-07-18,0,1871A9B5-BCE7-EB11-BACB-0022489B9951,Commerce de détail d'habillement en magasin spécialisé,True
M-PHONE,02614,NAN,SARL,,2007-07-18,0,47BAA1BB-BCE7-EB11-BACB-0022489B9951,,True
SANDJAKIAN ,02630,702C,SCI,,2007-08-01,0,CE2494CD-BCE7-EB11-BACB-0022489B9951,,True
RPA-ROGER PENAFIEL AUTOMOBILE,02636,NAN,SARL,,,0,0EC09AD3-BCE7-EB11-BACB-0022489B9951,,True
F.M.A.,02643,2512Z,SAS,,2007-10-08,0,390993D9-BCE7-EB11-BACB-0022489B9951,Fabrication de portes et fenêtres en métal,True
JEROME NOEL,02645,4321A,EURL,,2007-08-08,0,2FB68DDF-BCE7-EB11-BACB-0022489B9951,Travaux d'installation électrique dans tous locaux,True
ENTREPRISE HERVE FREDERIC,02650,4391B,EURL,,2007-08-30,0,5FBE7DF1-BCE7-EB11-BACB-0022489B9951,Travaux de couverture par éléments,True
JABRICO,02651,4752A,SARL,,2008-05-22,0,F50776F7-BCE7-EB11-BACB-0022489B9951,"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2)",True
LUCAS PASCAL ,02652,702A,IND,,2007-07-25,0,CA0976F7-BCE7-EB11-BACB-0022489B9951,,True
D.G.INSTAL'POSE,02656,4339Z,EURL,,2007-08-01,0,D0DF77FD-BCE7-EB11-BACB-0022489B9951,Autres travaux de finition,True
VISUEL LANGUE DES SIGNES,02663,NAN,ASS,,2007-10-10,0,B9968E09-BDE7-EB11-BACB-0022489B9951,,True
AMBULANCES SAINTE CHANTAL,02665,8690A,SARL,,2007-10-04,0,CB9F2610-BDE7-EB11-BACB-0022489B9951,Ambulances,True
COUDERC,02671,4334Z,IND,,2007-09-25,0,0C353429-BDE7-EB11-BACB-0022489B9951,Travaux de peinture et vitrerie,True
BARILLE ,02676,703A,IND,,,0,8EC8393B-BDE7-EB11-BACB-0022489B9951,,True
SWEET,02681,NAN,SARL,,,0,58CADF47-BDE7-EB11-BACB-0022489B9951,,True
ROUSSEAU ,02686,NAN,IND,,2007-09-13,0,01C6E84D-BDE7-EB11-BACB-0022489B9951,,True
SEBASTIEN RENAULT ENTRETIEN,02690,8130Z,EURL,,2007-11-28,0,7839E853-BDE7-EB11-BACB-0022489B9951,Services d'aménagement paysager ,True
ATLANTIC FROID CUISSON LAVERIE,02692,4669C,EURL,,2007-10-03,0,BE8DE059-BDE7-EB11-BACB-0022489B9951,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services,True
EURL EDIT SERVICES,02694,NAN,EURL,,,0,3A3BDB5F-BDE7-EB11-BACB-0022489B9951,,True
PALUSSIERE ETIENNE,02695,NAN,EURL,,,0,4E3BDB5F-BDE7-EB11-BACB-0022489B9951,,True
DURAND ESTELLE ,02698,930E,IND,,2007-12-17,0,FBB9156C-BDE7-EB11-BACB-0022489B9951,,True
SCP ORHAN,02711,NAN,SCP,,,0,E1D3747E-BDE7-EB11-BACB-0022489B9951,,True
FINANCIERE FOCH DEVELOPPEMENT,02715,7021Z,SARL,,2007-10-24,0,E4671685-BDE7-EB11-BACB-0022489B9951,Conseil en relations publiques et communication,True
ACCESSOIRES MODE IMPORT,02721,NAN,SARL,,,0,81DE3D91-BDE7-EB11-BACB-0022489B9951,,True
BOIDIN MICKAEL,02722,4332A,EURL,,2007-11-08,0,97EE3A97-BDE7-EB11-BACB-0022489B9951,Travaux de menuiserie bois et PVC,True
GARAGE GENCE,02723,NAN,SARL,,,0,AD87419D-BDE7-EB11-BACB-0022489B9951,,True
MERAND LAURENT ,02727,8130Z,SARL,,2007-10-03,0,D7363CA3-BDE7-EB11-BACB-0022489B9951,Services d'aménagement paysager ,True
LOISEAU GILLES ,02729,0240Z,IND,,2008-10-27,0,B1E136A9-BDE7-EB11-BACB-0022489B9951,Services de soutien à l'exploitation forestière,True
CLAUDE YASMINA,02736,NAN,SARL,,,0,830150B5-BDE7-EB11-BACB-0022489B9951,,True
CRE-IMAJ,02748,1813Z,SARL,,2008-01-17,0,D0A591C1-BDE7-EB11-BACB-0022489B9951,Activités de pré-presse ,True
LAM ,02751,4763Z,EURL,,2007-10-29,0,ADDD95C7-BDE7-EB11-BACB-0022489B9951,Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé,True
PIB,02752,4391A,SARL,,2007-11-09,0,3CAEB6CD-BDE7-EB11-BACB-0022489B9951,Travaux de charpente,True
CORVEZ ,02757,8690F,IND,,2010-06-10,0,3DF3D6D9-BDE7-EB11-BACB-0022489B9951,Activités de santé humaine non classées ailleurs,True
SOFT HOTEL,02767,NAN,SARL,,,0,61D7D5E5-BDE7-EB11-BACB-0022489B9951,,True
BRICARD,02773,NAN,SARL,,,0,A369FDF1-BDE7-EB11-BACB-0022489B9951,,True
OGER FABRICE,02777,NAN,EURL,,,0,B21E03F9-BDE7-EB11-BACB-0022489B9951,,True
COCHARD ALAIN,02781,NAN,EURL,,,0,C91E03F9-BDE7-EB11-BACB-0022489B9951,,True
DJANGA-MANGA ,02793,4331Z,IND,,2007-12-17,0,3547BD17-BEE7-EB11-BACB-0022489B9951,Travaux de plâtrerie,True
SCHEDSTAR SARL,02795,722C,SARL,,,0,B3E2C31D-BEE7-EB11-BACB-0022489B9951,,True
ALLIOT SANDRINE ,02800,NAN,IND,,,0,913ECF23-BEE7-EB11-BACB-0022489B9951,,True
SAINT LO PASCAL,02803,4399C,IND,,2007-11-22,0,4D0A0530-BEE7-EB11-BACB-0022489B9951,Travaux de maçonnerie générale et gros œuvre de bâtiment,True
KARAGOZ NAHIDE ,02806,NAN,IND,,2007-12-05,0,660A0530-BEE7-EB11-BACB-0022489B9951,,True
LOIRE LAYON,02810,NAN,SARL,,,0,5DDF0636-BEE7-EB11-BACB-0022489B9951,,True
ASSOCIATIONS EMPLOYEURS,02819,NAN,ASS,,,0,50D09442-BEE7-EB11-BACB-0022489B9951,,True
PAYE STEPHANE ,02823,0143Z,IND,,2007-11-15,0,1303F648-BEE7-EB11-BACB-0022489B9951,Élevage de chevaux et d'autres équidés,True
ENORA ,02829,1071C,SNC,,2007-11-22,0,B7F5D74F-BEE7-EB11-BACB-0022489B9951,Boulangerie et boulangerie-pâtisserie,True
WUILLOT STÉPHANE,02830,4391A,EURL,,2008-01-08,0,D8F5D74F-BEE7-EB11-BACB-0022489B9951,Travaux de charpente,True
ASSISTANCE MAINTENANCE MONTAGE,02831,4322B,SARL,,2008-04-28,0,3CA3D255-BEE7-EB11-BACB-0022489B9951,Travaux d'installation d'équipements thermiques et de climatisation,True
CONTRINFOR,02843,6202A,SARL,,2008-09-25,0,ECA79262-BEE7-EB11-BACB-0022489B9951,Conseil en systèmes et logiciels informatiques,True
LA TABLEE,02846,NAN,SARL,,,0,AA039E68-BEE7-EB11-BACB-0022489B9951,,True
PERROUIN COUVERTURE,02851,4391B,SARL,,2008-02-14,0,E0241475-BEE7-EB11-BACB-0022489B9951,Travaux de couverture par éléments,True
PHILMARIE,02866,6820B,SCI,,2008-06-25,0,7E7A6E8E-BEE7-EB11-BACB-0022489B9951,Location de terrains et d'autres biens immobiliers,True
QNESS SERVICE,02879,9609Z,SARL,,2008-01-16,0,3BFEF39C-BEE7-EB11-BACB-0022489B9951,Autres services personnels n.c.a.,True
SOUBEILLE GILLES,02887,NAN,EURL,,,0,411DE6A9-BEE7-EB11-BACB-0022489B9951,,True
ANJOU OENOLOGIE CONSEIL,02889,8299Z,SASU,,2008-05-22,0,5C1DE6A9-BEE7-EB11-BACB-0022489B9951,Autres activités de soutien aux entreprises n.c.a.,True
PRADERE ALAIN,02890,NAN,EURL,,,0,533CF5AF-BEE7-EB11-BACB-0022489B9951,,True
VERRON,02892,5110Z,IND,,2008-09-10,0,6D5AFCB5-BEE7-EB11-BACB-0022489B9951,Transports aériens de passagers,True
CINE ACT,02894,NAN,SAS,,,0,F45805BC-BEE7-EB11-BACB-0022489B9951,,True
PLASSAIS MICHEL ,02895,NAN,DIV,,,0,EF3C00C2-BEE7-EB11-BACB-0022489B9951,,True
REVISION OLIVIER CHENE,02897,NAN,SAGEN,,2008-01-18,0,C9AEFFC7-BEE7-EB11-BACB-0022489B9951,,True
FLEUR DE SEL PARTICIPATIONS,02900,NAN,SAS,,2008-01-22,0,79FAF7CD-BEE7-EB11-BACB-0022489B9951,,True
HORIZON GOURMAND,02901,1071C,SARL,,,0,DAFAF7CD-BEE7-EB11-BACB-0022489B9951,Boulangerie et boulangerie-pâtisserie,True
MANCELLE DE CHARPENTE,02903,NAN,SARL,,,0,1CA8F2D3-BEE7-EB11-BACB-0022489B9951,,True
VIA BRETAGNE,02904,4941B,SAS,,2008-01-23,0,53A8F2D3-BEE7-EB11-BACB-0022489B9951,Transports routiers de fret de proximité,True
PELE BLANQUER,02906,NAN,SARL,,,0,39B60EDA-BEE7-EB11-BACB-0022489B9951,,True
ANDRIEUX ANNE-SOPHIE,02908,8623Z,IND,,2008-02-05,0,D8C70BE0-BEE7-EB11-BACB-0022489B9951,Pratique dentaire,True
GRANBWA,02909,8130Z,EURL,,2008-01-29,0,96AE20E6-BEE7-EB11-BACB-0022489B9951,Services d'aménagement paysager ,True
BOCHER,02915,8690A,IND,,2008-03-12,0,C5E343EC-BEE7-EB11-BACB-0022489B9951,Ambulances,True
GUILLOIS,02918,8130Z,IND,,2008-04-16,0,321686F2-BEE7-EB11-BACB-0022489B9951,Services d'aménagement paysager ,True
HERVE IMMOBILIER,02922,NAN,SARL,,,0,A5C380F8-BEE7-EB11-BACB-0022489B9951,,True
SALLE ,02927,0240Z,IND,,2008-04-15,0,29D47DFE-BEE7-EB11-BACB-0022489B9951,Services de soutien à l'exploitation forestière,True
JMC,02929,9602B,EURL,,2008-07-09,0,FF1E7604-BFE7-EB11-BACB-0022489B9951,Soins de beauté,True
HUBERT GATE,02934,NAN,SARL,,,0,CDDE8C10-BFE7-EB11-BACB-0022489B9951,,True
JLM,02947,6820B,SCI,,2008-06-16,0,C4CF1523-BFE7-EB11-BACB-0022489B9951,Location de terrains et d'autres biens immobiliers,True
EVOLUTION COIFFURE,02948,9602A,SARL,,2008-06-16,0,245A4729-BFE7-EB11-BACB-0022489B9951,Coiffure,True
CHAUVETEAU ,02961,NAN,IND,,2008-03-12,0,9689A447-BFE7-EB11-BACB-0022489B9951,,True
VERT BAMBOU ,02963,4776Z,EURL,,2008-11-06,0,B6369F4D-BFE7-EB11-BACB-0022489B9951,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",True
S.T.P.,02979,1012Z,SARL,,2008-03-25,0,84C2A165-BFE7-EB11-BACB-0022489B9951,Transformation et conservation de la viande de volaille,True
TOUT EN BEAUTE,02986,NAN,EURL,,,0,A9A5A071-BFE7-EB11-BACB-0022489B9951,,True
BETIN ,02994,4399D,SARL,,2008-03-31,0,6AB1A97F-BFE7-EB11-BACB-0022489B9951,Autres travaux spécialisés de construction,True
ZELITES,02996,6202A,SARL,,2008-04-10,0,88B1A97F-BFE7-EB11-BACB-0022489B9951,Conseil en systèmes et logiciels informatiques,True
ELD,02998,NAN,SARL,,,0,230CD485-BFE7-EB11-BACB-0022489B9951,,True
BLUEFISH,02999,3109B,SARL,,2009-04-14,0,350CD485-BFE7-EB11-BACB-0022489B9951,Fabrication d’autres meubles et industries connexes de l’ameublement,True
TCHAP,03005,NAN,SAS,,,0,B357CC8B-BFE7-EB11-BACB-0022489B9951,,True
POTENTIEL MOTIV,03016,7022Z,ASS,,2008-07-15,0,D56EB9A3-BFE7-EB11-BACB-0022489B9951,Conseil pour les affaires et autres conseils de gestion,True
EVEILLARD BARRIER,03019,1071C,SARL,,2008-09-10,0,0B6FB9A3-BFE7-EB11-BACB-0022489B9951,Boulangerie et boulangerie-pâtisserie,True
SIRIUS,03022,4110A,SAS,,2008-04-23,0,7BD1F7B0-BFE7-EB11-BACB-0022489B9951,Promotion immobilière de logements,True
TACHEAU ,03025,5610A,IND,,2008-06-03,0,96D1F7B0-BFE7-EB11-BACB-0022489B9951,Restauration traditionnelle,True
BOULANGERIE LECOQ,03026,1071C,SARL,,2008-05-20,0,B6A405B7-BFE7-EB11-BACB-0022489B9951,Boulangerie et boulangerie-pâtisserie,True
GEORGES,03029,4312A,IND,,2008-05-05,0,8D2918BD-BFE7-EB11-BACB-0022489B9951,Travaux de terrassement courants et travaux préparatoires,True
LE MOULIN DE VERTEUIL,03031,1071C,SARL,,2008-06-24,0,AF3815C3-BFE7-EB11-BACB-0022489B9951,Boulangerie et boulangerie-pâtisserie,True
BLANDIN SAMUEL,03032,4334Z,EURL,,2008-06-25,0,D99520C9-BFE7-EB11-BACB-0022489B9951,Travaux de peinture et vitrerie,True
AMBULANCE TAXI DUCHESNE,03048,NAN,SARL,,,0,662EBBE7-BFE7-EB11-BACB-0022489B9951,,True
BEAUJOIN AURORE,03058,8690F,IND,,2008-06-17,0,86FCC300-C0E7-EB11-BACB-0022489B9951,Activités de santé humaine non classées ailleurs,True
BOCQUENE JULIEN,03059,8690F,IND,,2008-06-17,0,D3FCC300-C0E7-EB11-BACB-0022489B9951,Activités de santé humaine non classées ailleurs,True
SAINTE CATHERINE,03061,851H,SARL,,,0,E797C306-C0E7-EB11-BACB-0022489B9951,,True
MFD ESTHETIQUE,03062,9602B,SARL,,2008-10-13,0,EFE2BB0C-C0E7-EB11-BACB-0022489B9951,Soins de beauté,True
